dataset_type,policy_name,policy_version,case_name,episode_id,step,x,y,direction,next_x,next_y,next_direction,front_blocked,left_blocked,right_blocked,true_front_blocked,true_left_blocked,true_right_blocked,distance_to_goal,dx_to_goal,dy_to_goal,action,reward,done,episode_success,is_demonstration_accepted
heuristic_demonstration,obstacle_aware_goal,v0.4.2,no_obstacle_8x8,v0_5_no_obstacle_8x8_0,0,0,0,east,1,0,east,0,1,0,0,1,0,14,7,7,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,no_obstacle_8x8,v0_5_no_obstacle_8x8_0,1,1,0,east,2,0,east,0,1,0,0,1,0,13,6,7,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,no_obstacle_8x8,v0_5_no_obstacle_8x8_0,2,2,0,east,3,0,east,0,1,0,0,1,0,12,5,7,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,no_obstacle_8x8,v0_5_no_obstacle_8x8_0,3,3,0,east,4,0,east,0,1,0,0,1,0,11,4,7,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,no_obstacle_8x8,v0_5_no_obstacle_8x8_0,4,4,0,east,5,0,east,0,1,0,0,1,0,10,3,7,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,no_obstacle_8x8,v0_5_no_obstacle_8x8_0,5,5,0,east,6,0,east,0,1,0,0,1,0,9,2,7,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,no_obstacle_8x8,v0_5_no_obstacle_8x8_0,6,6,0,east,7,0,east,0,1,0,0,1,0,8,1,7,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,no_obstacle_8x8,v0_5_no_obstacle_8x8_0,7,7,0,east,7,0,south,1,1,0,1,1,0,7,0,7,turn_right,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,no_obstacle_8x8,v0_5_no_obstacle_8x8_0,8,7,0,south,7,1,south,0,1,0,0,1,0,7,0,7,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,no_obstacle_8x8,v0_5_no_obstacle_8x8_0,9,7,1,south,7,2,south,0,1,0,0,1,0,6,0,6,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,no_obstacle_8x8,v0_5_no_obstacle_8x8_0,10,7,2,south,7,3,south,0,1,0,0,1,0,5,0,5,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,no_obstacle_8x8,v0_5_no_obstacle_8x8_0,11,7,3,south,7,4,south,0,1,0,0,1,0,4,0,4,forward,0.90,0,1,true
