dataset_type,policy_name,policy_version,case_name,episode_id,step,x,y,direction,next_x,next_y,next_direction,front_blocked,left_blocked,right_blocked,true_front_blocked,true_left_blocked,true_right_blocked,distance_to_goal,dx_to_goal,dy_to_goal,action,reward,done,episode_success,is_demonstration_accepted
heuristic_demonstration,obstacle_aware_goal,v0.4.2,left_turn_required,v0_5_left_turn_required_0,0,2,3,east,2,3,north,1,0,0,1,0,0,3,0,-3,turn_left,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,left_turn_required,v0_5_left_turn_required_0,1,2,3,north,2,2,north,0,0,1,0,0,1,3,0,-3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,left_turn_required,v0_5_left_turn_required_0,2,2,2,north,2,1,north,0,0,1,0,0,1,2,0,-2,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,left_turn_required,v0_5_left_turn_required_0,3,2,1,north,2,0,north,0,0,1,0,0,1,1,0,-1,forward,10.00,1,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,right_turn_required,v0_5_right_turn_required_1,0,2,2,east,2,2,south,1,0,0,1,0,0,3,0,3,turn_right,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,right_turn_required,v0_5_right_turn_required_1,1,2,2,south,2,3,south,0,1,0,0,1,0,3,0,3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,right_turn_required,v0_5_right_turn_required_1,2,2,3,south,2,4,south,0,1,0,0,1,0,2,0,2,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,right_turn_required,v0_5_right_turn_required_1,3,2,4,south,2,5,south,0,1,0,0,1,0,1,0,1,forward,10.00,1,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,front_blocked_left_open,v0_5_front_blocked_left_open_2,0,3,3,east,3,3,north,1,0,1,1,0,1,3,0,-3,turn_left,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,front_blocked_left_open,v0_5_front_blocked_left_open_2,1,3,3,north,3,2,north,0,1,1,0,1,1,3,0,-3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,front_blocked_left_open,v0_5_front_blocked_left_open_2,2,3,2,north,3,1,north,0,0,1,0,0,1,2,0,-2,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,front_blocked_left_open,v0_5_front_blocked_left_open_2,3,3,1,north,3,0,north,0,0,0,0,0,0,1,0,-1,forward,10.00,1,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,front_blocked_right_open,v0_5_front_blocked_right_open_3,0,3,3,east,3,3,south,1,1,0,1,1,0,3,0,3,turn_right,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,front_blocked_right_open,v0_5_front_blocked_right_open_3,1,3,3,south,3,4,south,0,1,1,0,1,1,3,0,3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,front_blocked_right_open,v0_5_front_blocked_right_open_3,2,3,4,south,3,5,south,0,1,0,0,1,0,2,0,2,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,front_blocked_right_open,v0_5_front_blocked_right_open_3,3,3,5,south,3,6,south,0,0,0,0,0,0,1,0,1,forward,10.00,1,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,0,1,6,east,2,6,east,0,0,0,0,0,0,10,5,-5,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,1,2,6,east,3,6,east,0,1,0,0,1,0,9,4,-5,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,2,3,6,east,4,6,east,0,1,0,0,1,0,8,3,-5,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,3,4,6,east,5,6,east,0,1,0,0,1,0,7,2,-5,forward,0.90,0,1,true
