policy_id,policy_label,case_name,reached_goal,result_type,steps,total_reward,collision_count,failure_reason,trajectory_path,csv_path
teacher,obstacle_aware_goal,no_obstacle_8x8,True,success,15,21.5,0,,experiments\v0_7_final\trajectories\teacher\no_obstacle_8x8\trajectory.png,experiments\v0_7_final\trajectories\teacher\no_obstacle_8x8\run_log.csv
teacher,obstacle_aware_goal,left_turn_required,True,success,4,11.6,0,,experiments\v0_7_final\trajectories\teacher\left_turn_required\trajectory.png,experiments\v0_7_final\trajectories\teacher\left_turn_required\run_log.csv
teacher,obstacle_aware_goal,right_turn_required,True,success,4,11.6,0,,experiments\v0_7_final\trajectories\teacher\right_turn_required\trajectory.png,experiments\v0_7_final\trajectories\teacher\right_turn_required\run_log.csv
teacher,obstacle_aware_goal,front_blocked_left_open,True,success,4,11.6,0,,experiments\v0_7_final\trajectories\teacher\front_blocked_left_open\trajectory.png,experiments\v0_7_final\trajectories\teacher\front_blocked_left_open\run_log.csv
teacher,obstacle_aware_goal,front_blocked_right_open,True,success,4,11.6,0,,experiments\v0_7_final\trajectories\teacher\front_blocked_right_open\trajectory.png,experiments\v0_7_final\trajectories\teacher\front_blocked_right_open\run_log.csv
teacher,obstacle_aware_goal,corridor_left_turn,True,success,41,14.3,0,,experiments\v0_7_final\trajectories\teacher\corridor_left_turn\trajectory.png,experiments\v0_7_final\trajectories\teacher\corridor_left_turn\run_log.csv
teacher,obstacle_aware_goal,corridor_right_turn,True,success,41,14.3,0,,experiments\v0_7_final\trajectories\teacher\corridor_right_turn\trajectory.png,experiments\v0_7_final\trajectories\teacher\corridor_right_turn\run_log.csv
teacher,obstacle_aware_goal,consecutive_turns,True,success,48,8.6,0,,experiments\v0_7_final\trajectories\teacher\consecutive_turns\trajectory.png,experiments\v0_7_final\trajectories\teacher\consecutive_turns\run_log.csv
original_bc,v0.6 behavior_cloning_knn,no_obstacle_8x8,False,policy_failed,32,-43.7,25,max_steps_exceeded,experiments\v0_7_final\trajectories\original_bc\no_obstacle_8x8\trajectory.png,experiments\v0_7_final\trajectories\original_bc\no_obstacle_8x8\run_log.csv
original_bc,v0.6 behavior_cloning_knn,left_turn_required,False,policy_failed,24,-48.0,24,max_steps_exceeded,experiments\v0_7_final\trajectories\original_bc\left_turn_required\trajectory.png,experiments\v0_7_final\trajectories\original_bc\left_turn_required\run_log.csv
original_bc,v0.6 behavior_cloning_knn,right_turn_required,False,policy_failed,24,-48.0,24,max_steps_exceeded,experiments\v0_7_final\trajectories\original_bc\right_turn_required\trajectory.png,experiments\v0_7_final\trajectories\original_bc\right_turn_required\run_log.csv
original_bc,v0.6 behavior_cloning_knn,front_blocked_left_open,False,policy_failed,30,-60.0,30,max_steps_exceeded,experiments\v0_7_final\trajectories\original_bc\front_blocked_left_open\trajectory.png,experiments\v0_7_final\trajectories\original_bc\front_blocked_left_open\run_log.csv
original_bc,v0.6 behavior_cloning_knn,front_blocked_right_open,False,policy_failed,30,-60.0,30,max_steps_exceeded,experiments\v0_7_final\trajectories\original_bc\front_blocked_right_open\trajectory.png,experiments\v0_7_final\trajectories\original_bc\front_blocked_right_open\run_log.csv
original_bc,v0.6 behavior_cloning_knn,corridor_left_turn,False,policy_failed,50,-86.6,45,max_steps_exceeded,experiments\v0_7_final\trajectories\original_bc\corridor_left_turn\trajectory.png,experiments\v0_7_final\trajectories\original_bc\corridor_left_turn\run_log.csv
original_bc,v0.6 behavior_cloning_knn,corridor_right_turn,False,policy_failed,50,-88.4,46,max_steps_exceeded,experiments\v0_7_final\trajectories\original_bc\corridor_right_turn\trajectory.png,experiments\v0_7_final\trajectories\original_bc\corridor_right_turn\run_log.csv
original_bc,v0.6 behavior_cloning_knn,consecutive_turns,False,policy_failed,60,-114.6,55,max_steps_exceeded,experiments\v0_7_final\trajectories\original_bc\consecutive_turns\trajectory.png,experiments\v0_7_final\trajectories\original_bc\consecutive_turns\run_log.csv
improved_bc,v0.6.6 knn_class_balanced,no_obstacle_8x8,False,policy_failed,32,-43.7,25,max_steps_exceeded,experiments\v0_7_final\trajectories\improved_bc\no_obstacle_8x8\trajectory.png,experiments\v0_7_final\trajectories\improved_bc\no_obstacle_8x8\run_log.csv
improved_bc,v0.6.6 knn_class_balanced,left_turn_required,True,success,4,11.6,0,,experiments\v0_7_final\trajectories\improved_bc\left_turn_required\trajectory.png,experiments\v0_7_final\trajectories\improved_bc\left_turn_required\run_log.csv
improved_bc,v0.6.6 knn_class_balanced,right_turn_required,True,success,4,11.6,0,,experiments\v0_7_final\trajectories\improved_bc\right_turn_required\trajectory.png,experiments\v0_7_final\trajectories\improved_bc\right_turn_required\run_log.csv
improved_bc,v0.6.6 knn_class_balanced,front_blocked_left_open,False,policy_failed,30,-60.0,30,max_steps_exceeded,experiments\v0_7_final\trajectories\improved_bc\front_blocked_left_open\trajectory.png,experiments\v0_7_final\trajectories\improved_bc\front_blocked_left_open\run_log.csv
improved_bc,v0.6.6 knn_class_balanced,front_blocked_right_open,True,success,4,11.6,0,,experiments\v0_7_final\trajectories\improved_bc\front_blocked_right_open\trajectory.png,experiments\v0_7_final\trajectories\improved_bc\front_blocked_right_open\run_log.csv
improved_bc,v0.6.6 knn_class_balanced,corridor_left_turn,False,policy_failed,50,-88.4,46,max_steps_exceeded,experiments\v0_7_final\trajectories\improved_bc\corridor_left_turn\trajectory.png,experiments\v0_7_final\trajectories\improved_bc\corridor_left_turn\run_log.csv
improved_bc,v0.6.6 knn_class_balanced,corridor_right_turn,False,policy_failed,50,-88.4,46,max_steps_exceeded,experiments\v0_7_final\trajectories\improved_bc\corridor_right_turn\trajectory.png,experiments\v0_7_final\trajectories\improved_bc\corridor_right_turn\run_log.csv
improved_bc,v0.6.6 knn_class_balanced,consecutive_turns,False,policy_failed,60,-120.0,60,max_steps_exceeded,experiments\v0_7_final\trajectories\improved_bc\consecutive_turns\trajectory.png,experiments\v0_7_final\trajectories\improved_bc\consecutive_turns\run_log.csv
