run_id,step,x,y,direction,front_blocked,left_blocked,right_blocked,distance_to_goal,action,action_success,collision,true_front_blocked,true_left_blocked,true_right_blocked,pre_x,pre_y,pre_direction,pre_front_blocked,pre_left_blocked,pre_right_blocked,pre_true_front_blocked,pre_true_left_blocked,pre_true_right_blocked,pre_distance_to_goal,pre_dx_to_goal,pre_dy_to_goal,dx_to_goal,dy_to_goal,reward,done,event
v0_7_teacher_consecutive_turns,0,1,4,north,0,0,1,5,turn_left,1,0,0,0,1,1,4,east,1,0,0,1,0,0,5,5,0,5,0,-0.20,0,turn
v0_7_teacher_consecutive_turns,1,1,3,north,0,0,1,6,forward,1,0,0,0,1,1,4,north,0,0,1,0,0,1,5,5,0,5,0,-1.10,0,move
v0_7_teacher_consecutive_turns,2,1,2,north,0,0,0,7,forward,1,0,0,0,0,1,3,north,0,0,1,0,0,1,6,5,1,5,1,-1.10,0,move
v0_7_teacher_consecutive_turns,3,1,1,north,0,0,0,8,forward,1,0,0,0,0,1,2,north,0,0,0,0,0,0,7,5,2,5,2,-1.10,0,move
v0_7_teacher_consecutive_turns,4,1,0,north,1,0,0,9,forward,1,0,1,0,0,1,1,north,0,0,0,0,0,0,8,5,3,5,3,-1.10,0,move
v0_7_teacher_consecutive_turns,5,1,0,east,0,1,0,9,turn_right,1,0,0,1,0,1,0,north,1,0,0,1,0,0,9,5,4,5,4,-0.20,0,turn
v0_7_teacher_consecutive_turns,6,2,0,east,0,1,0,8,forward,1,0,0,1,0,1,0,east,0,1,0,0,1,0,9,5,4,5,4,0.90,0,move
v0_7_teacher_consecutive_turns,7,3,0,east,0,1,0,7,forward,1,0,0,1,0,2,0,east,0,1,0,0,1,0,8,4,4,4,4,0.90,0,move
v0_7_teacher_consecutive_turns,8,4,0,east,0,1,0,6,forward,1,0,0,1,0,3,0,east,0,1,0,0,1,0,7,3,4,3,4,0.90,0,move
v0_7_teacher_consecutive_turns,9,5,0,east,0,1,0,5,forward,1,0,0,1,0,4,0,east,0,1,0,0,1,0,6,2,4,2,4,0.90,0,move
v0_7_teacher_consecutive_turns,10,6,0,east,0,1,0,4,forward,1,0,0,1,0,5,0,east,0,1,0,0,1,0,5,1,4,1,4,0.90,0,move
v0_7_teacher_consecutive_turns,11,7,0,east,1,1,0,5,forward,1,0,1,1,0,6,0,east,0,1,0,0,1,0,4,0,4,0,4,-1.10,0,move
v0_7_teacher_consecutive_turns,12,7,0,south,0,1,0,5,turn_right,1,0,0,1,0,7,0,east,1,1,0,1,1,0,5,-1,4,-1,4,-0.20,0,turn
v0_7_teacher_consecutive_turns,13,7,1,south,0,1,0,4,forward,1,0,0,1,0,7,0,south,0,1,0,0,1,0,5,-1,4,-1,4,0.90,0,move
v0_7_teacher_consecutive_turns,14,7,2,south,0,1,0,3,forward,1,0,0,1,0,7,1,south,0,1,0,0,1,0,4,-1,3,-1,3,0.90,0,move
v0_7_teacher_consecutive_turns,15,7,3,south,0,1,0,2,forward,1,0,0,1,0,7,2,south,0,1,0,0,1,0,3,-1,2,-1,2,0.90,0,move
v0_7_teacher_consecutive_turns,16,7,4,south,0,1,0,1,forward,1,0,0,1,0,7,3,south,0,1,0,0,1,0,2,-1,1,-1,1,0.90,0,move
v0_7_teacher_consecutive_turns,17,7,5,south,0,1,0,2,forward,1,0,0,1,0,7,4,south,0,1,0,0,1,0,1,-1,0,-1,0,-1.10,0,move
v0_7_teacher_consecutive_turns,18,7,6,south,0,1,0,3,forward,1,0,0,1,0,7,5,south,0,1,0,0,1,0,2,-1,-1,-1,-1,-1.10,0,move
v0_7_teacher_consecutive_turns,19,7,7,south,1,1,0,4,forward,1,0,1,1,0,7,6,south,0,1,0,0,1,0,3,-1,-2,-1,-2,-1.10,0,move
v0_7_teacher_consecutive_turns,20,7,7,west,0,1,0,4,turn_right,1,0,0,1,0,7,7,south,1,1,0,1,1,0,4,-1,-3,-1,-3,-0.20,0,turn
v0_7_teacher_consecutive_turns,21,6,7,west,0,1,0,3,forward,1,0,0,1,0,7,7,west,0,1,0,0,1,0,4,-1,-3,-1,-3,0.90,0,move
v0_7_teacher_consecutive_turns,22,5,7,west,0,1,0,4,forward,1,0,0,1,0,6,7,west,0,1,0,0,1,0,3,0,-3,0,-3,-1.10,0,move
v0_7_teacher_consecutive_turns,23,4,7,west,0,1,0,5,forward,1,0,0,1,0,5,7,west,0,1,0,0,1,0,4,1,-3,1,-3,-1.10,0,move
v0_7_teacher_consecutive_turns,24,3,7,west,0,1,0,6,forward,1,0,0,1,0,4,7,west,0,1,0,0,1,0,5,2,-3,2,-3,-1.10,0,move
v0_7_teacher_consecutive_turns,25,2,7,west,0,1,0,7,forward,1,0,0,1,0,3,7,west,0,1,0,0,1,0,6,3,-3,3,-3,-1.10,0,move
v0_7_teacher_consecutive_turns,26,1,7,west,0,1,0,8,forward,1,0,0,1,0,2,7,west,0,1,0,0,1,0,7,4,-3,4,-3,-1.10,0,move
v0_7_teacher_consecutive_turns,27,0,7,west,1,1,0,9,forward,1,0,1,1,0,1,7,west,0,1,0,0,1,0,8,5,-3,5,-3,-1.10,0,move
v0_7_teacher_consecutive_turns,28,0,7,north,0,1,0,9,turn_right,1,0,0,1,0,0,7,west,1,1,0,1,1,0,9,6,-3,6,-3,-0.20,0,turn
v0_7_teacher_consecutive_turns,29,0,6,north,0,1,0,8,forward,1,0,0,1,0,0,7,north,0,1,0,0,1,0,9,6,-3,6,-3,0.90,0,move
v0_7_teacher_consecutive_turns,30,0,5,north,0,1,0,7,forward,1,0,0,1,0,0,6,north,0,1,0,0,1,0,8,6,-2,6,-2,0.90,0,move
v0_7_teacher_consecutive_turns,31,0,4,north,0,1,0,6,forward,1,0,0,1,0,0,5,north,0,1,0,0,1,0,7,6,-1,6,-1,0.90,0,move
v0_7_teacher_consecutive_turns,32,0,3,north,0,1,0,7,forward,1,0,0,1,0,0,4,north,0,1,0,0,1,0,6,6,0,6,0,-1.10,0,move
v0_7_teacher_consecutive_turns,33,0,2,north,0,1,0,8,forward,1,0,0,1,0,0,3,north,0,1,0,0,1,0,7,6,1,6,1,-1.10,0,move
v0_7_teacher_consecutive_turns,34,0,1,north,0,1,0,9,forward,1,0,0,1,0,0,2,north,0,1,0,0,1,0,8,6,2,6,2,-1.10,0,move
v0_7_teacher_consecutive_turns,35,0,0,north,1,1,0,10,forward,1,0,1,1,0,0,1,north,0,1,0,0,1,0,9,6,3,6,3,-1.10,0,move
v0_7_teacher_consecutive_turns,36,0,0,east,0,1,0,10,turn_right,1,0,0,1,0,0,0,north,1,1,0,1,1,0,10,6,4,6,4,-0.20,0,turn
v0_7_teacher_consecutive_turns,37,1,0,east,0,1,0,9,forward,1,0,0,1,0,0,0,east,0,1,0,0,1,0,10,6,4,6,4,0.90,0,move
v0_7_teacher_consecutive_turns,38,2,0,east,0,1,0,8,forward,1,0,0,1,0,1,0,east,0,1,0,0,1,0,9,5,4,5,4,0.90,0,move
v0_7_teacher_consecutive_turns,39,3,0,east,0,1,0,7,forward,1,0,0,1,0,2,0,east,0,1,0,0,1,0,8,4,4,4,4,0.90,0,move
v0_7_teacher_consecutive_turns,40,4,0,east,0,1,0,6,forward,1,0,0,1,0,3,0,east,0,1,0,0,1,0,7,3,4,3,4,0.90,0,move
v0_7_teacher_consecutive_turns,41,5,0,east,0,1,0,5,forward,1,0,0,1,0,4,0,east,0,1,0,0,1,0,6,2,4,2,4,0.90,0,move
v0_7_teacher_consecutive_turns,42,6,0,east,0,1,0,4,forward,1,0,0,1,0,5,0,east,0,1,0,0,1,0,5,1,4,1,4,0.90,0,move
v0_7_teacher_consecutive_turns,43,6,0,south,0,0,0,4,turn_right,1,0,0,0,0,6,0,east,0,1,0,0,1,0,4,0,4,0,4,-0.20,0,turn
v0_7_teacher_consecutive_turns,44,6,1,south,0,0,0,3,forward,1,0,0,0,0,6,0,south,0,0,0,0,0,0,4,0,4,0,4,0.90,0,move
v0_7_teacher_consecutive_turns,45,6,2,south,0,0,0,2,forward,1,0,0,0,0,6,1,south,0,0,0,0,0,0,3,0,3,0,3,0.90,0,move
v0_7_teacher_consecutive_turns,46,6,3,south,0,0,0,1,forward,1,0,0,0,0,6,2,south,0,0,0,0,0,0,2,0,2,0,2,0.90,0,move
v0_7_teacher_consecutive_turns,47,6,4,south,0,0,0,0,forward,1,0,0,0,0,6,3,south,0,0,0,0,0,0,1,0,1,0,1,10.00,1,goal
