run_id,step,x,y,direction,front_blocked,left_blocked,right_blocked,distance_to_goal,action,action_success,collision,true_front_blocked,true_left_blocked,true_right_blocked,pre_x,pre_y,pre_direction,pre_front_blocked,pre_left_blocked,pre_right_blocked,pre_true_front_blocked,pre_true_left_blocked,pre_true_right_blocked,pre_distance_to_goal,pre_dx_to_goal,pre_dy_to_goal,dx_to_goal,dy_to_goal,reward,done,event
v0_7_teacher_corridor_left_turn,0,2,6,east,0,1,0,9,forward,1,0,0,1,0,1,6,east,0,0,0,0,0,0,10,5,-5,5,-5,0.90,0,move
v0_7_teacher_corridor_left_turn,1,3,6,east,0,1,0,8,forward,1,0,0,1,0,2,6,east,0,1,0,0,1,0,9,4,-5,4,-5,0.90,0,move
v0_7_teacher_corridor_left_turn,2,4,6,east,0,1,0,7,forward,1,0,0,1,0,3,6,east,0,1,0,0,1,0,8,3,-5,3,-5,0.90,0,move
v0_7_teacher_corridor_left_turn,3,5,6,east,1,1,0,6,forward,1,0,1,1,0,4,6,east,0,1,0,0,1,0,7,2,-5,2,-5,0.90,0,move
v0_7_teacher_corridor_left_turn,4,5,6,south,0,1,0,6,turn_right,1,0,0,1,0,5,6,east,1,1,0,1,1,0,6,1,-5,1,-5,-0.20,0,turn
v0_7_teacher_corridor_left_turn,5,5,7,south,1,0,0,7,forward,1,0,1,0,0,5,6,south,0,1,0,0,1,0,6,1,-5,1,-5,-1.10,0,move
v0_7_teacher_corridor_left_turn,6,5,7,east,0,0,1,7,turn_left,1,0,0,0,1,5,7,south,1,0,0,1,0,0,7,1,-6,1,-6,-0.20,0,turn
v0_7_teacher_corridor_left_turn,7,6,7,east,0,1,1,6,forward,1,0,0,1,1,5,7,east,0,0,1,0,0,1,7,1,-6,1,-6,0.90,0,move
v0_7_teacher_corridor_left_turn,8,7,7,east,1,0,1,7,forward,1,0,1,0,1,6,7,east,0,1,1,0,1,1,6,0,-6,0,-6,-1.10,0,move
v0_7_teacher_corridor_left_turn,9,7,7,north,0,0,1,7,turn_left,1,0,0,0,1,7,7,east,1,0,1,1,0,1,7,-1,-6,-1,-6,-0.20,0,turn
v0_7_teacher_corridor_left_turn,10,7,6,north,0,1,1,6,forward,1,0,0,1,1,7,7,north,0,0,1,0,0,1,7,-1,-6,-1,-6,0.90,0,move
v0_7_teacher_corridor_left_turn,11,7,5,north,0,1,1,5,forward,1,0,0,1,1,7,6,north,0,1,1,0,1,1,6,-1,-5,-1,-5,0.90,0,move
v0_7_teacher_corridor_left_turn,12,7,4,north,0,0,1,4,forward,1,0,0,0,1,7,5,north,0,1,1,0,1,1,5,-1,-4,-1,-4,0.90,0,move
v0_7_teacher_corridor_left_turn,13,7,3,north,0,0,1,3,forward,1,0,0,0,1,7,4,north,0,0,1,0,0,1,4,-1,-3,-1,-3,0.90,0,move
v0_7_teacher_corridor_left_turn,14,7,2,north,0,0,1,2,forward,1,0,0,0,1,7,3,north,0,0,1,0,0,1,3,-1,-2,-1,-2,0.90,0,move
v0_7_teacher_corridor_left_turn,15,7,1,north,0,0,1,1,forward,1,0,0,0,1,7,2,north,0,0,1,0,0,1,2,-1,-1,-1,-1,0.90,0,move
v0_7_teacher_corridor_left_turn,16,7,0,north,1,0,1,2,forward,1,0,1,0,1,7,1,north,0,0,1,0,0,1,1,-1,0,-1,0,-1.10,0,move
v0_7_teacher_corridor_left_turn,17,7,0,west,0,0,1,2,turn_left,1,0,0,0,1,7,0,north,1,0,1,1,0,1,2,-1,1,-1,1,-0.20,0,turn
v0_7_teacher_corridor_left_turn,18,6,0,west,0,0,1,1,forward,1,0,0,0,1,7,0,west,0,0,1,0,0,1,2,-1,1,-1,1,0.90,0,move
v0_7_teacher_corridor_left_turn,19,5,0,west,0,0,1,2,forward,1,0,0,0,1,6,0,west,0,0,1,0,0,1,1,0,1,0,1,-1.10,0,move
v0_7_teacher_corridor_left_turn,20,4,0,west,0,0,1,3,forward,1,0,0,0,1,5,0,west,0,0,1,0,0,1,2,1,1,1,1,-1.10,0,move
v0_7_teacher_corridor_left_turn,21,3,0,west,0,0,1,4,forward,1,0,0,0,1,4,0,west,0,0,1,0,0,1,3,2,1,2,1,-1.10,0,move
v0_7_teacher_corridor_left_turn,22,2,0,west,0,0,1,5,forward,1,0,0,0,1,3,0,west,0,0,1,0,0,1,4,3,1,3,1,-1.10,0,move
v0_7_teacher_corridor_left_turn,23,1,0,west,0,0,1,6,forward,1,0,0,0,1,2,0,west,0,0,1,0,0,1,5,4,1,4,1,-1.10,0,move
v0_7_teacher_corridor_left_turn,24,0,0,west,1,0,1,7,forward,1,0,1,0,1,1,0,west,0,0,1,0,0,1,6,5,1,5,1,-1.10,0,move
v0_7_teacher_corridor_left_turn,25,0,0,south,0,0,1,7,turn_left,1,0,0,0,1,0,0,west,1,0,1,1,0,1,7,6,1,6,1,-0.20,0,turn
v0_7_teacher_corridor_left_turn,26,0,1,south,0,0,1,6,forward,1,0,0,0,1,0,0,south,0,0,1,0,0,1,7,6,1,6,1,0.90,0,move
v0_7_teacher_corridor_left_turn,27,0,2,south,0,0,1,7,forward,1,0,0,0,1,0,1,south,0,0,1,0,0,1,6,6,0,6,0,-1.10,0,move
v0_7_teacher_corridor_left_turn,28,0,3,south,0,0,1,8,forward,1,0,0,0,1,0,2,south,0,0,1,0,0,1,7,6,-1,6,-1,-1.10,0,move
v0_7_teacher_corridor_left_turn,29,0,4,south,1,0,1,9,forward,1,0,1,0,1,0,3,south,0,0,1,0,0,1,8,6,-2,6,-2,-1.10,0,move
v0_7_teacher_corridor_left_turn,30,0,4,east,0,0,1,9,turn_left,1,0,0,0,1,0,4,south,1,0,1,1,0,1,9,6,-3,6,-3,-0.20,0,turn
v0_7_teacher_corridor_left_turn,31,1,4,east,0,0,0,8,forward,1,0,0,0,0,0,4,east,0,0,1,0,0,1,9,6,-3,6,-3,0.90,0,move
v0_7_teacher_corridor_left_turn,32,2,4,east,0,0,1,7,forward,1,0,0,0,1,1,4,east,0,0,0,0,0,0,8,5,-3,5,-3,0.90,0,move
v0_7_teacher_corridor_left_turn,33,3,4,east,0,0,1,6,forward,1,0,0,0,1,2,4,east,0,0,1,0,0,1,7,4,-3,4,-3,0.90,0,move
v0_7_teacher_corridor_left_turn,34,4,4,east,0,0,1,5,forward,1,0,0,0,1,3,4,east,0,0,1,0,0,1,6,3,-3,3,-3,0.90,0,move
v0_7_teacher_corridor_left_turn,35,5,4,east,0,0,1,4,forward,1,0,0,0,1,4,4,east,0,0,1,0,0,1,5,2,-3,2,-3,0.90,0,move
v0_7_teacher_corridor_left_turn,36,6,4,east,0,0,1,3,forward,1,0,0,0,1,5,4,east,0,0,1,0,0,1,4,1,-3,1,-3,0.90,0,move
v0_7_teacher_corridor_left_turn,37,6,4,north,0,0,0,3,turn_left,1,0,0,0,0,6,4,east,0,0,1,0,0,1,3,0,-3,0,-3,-0.20,0,turn
v0_7_teacher_corridor_left_turn,38,6,3,north,0,0,0,2,forward,1,0,0,0,0,6,4,north,0,0,0,0,0,0,3,0,-3,0,-3,0.90,0,move
v0_7_teacher_corridor_left_turn,39,6,2,north,0,0,0,1,forward,1,0,0,0,0,6,3,north,0,0,0,0,0,0,2,0,-2,0,-2,0.90,0,move
v0_7_teacher_corridor_left_turn,40,6,1,north,0,0,0,0,forward,1,0,0,0,0,6,2,north,0,0,0,0,0,0,1,0,-1,0,-1,10.00,1,goal
